ticket_id,created_date,user_id,issue_category,issue_subcategory,user_message,urgency,priority,sentiment,status,resolution_time_hours,channel,city,state,app_version,customer_segment,human_escalation_required,csat_score
TKT-202605-0204,2026-02-09,USR-261050,SIP,SIP Payment Failed,My SIP failed but money got debited from my bank account.,High,High,Frustrated,In Progress,52.3,Chat,Jaipur,Rajasthan,8.23.0,Active Trader,False,3.6
TKT-202605-0252,2026-02-09,USR-702891,IPO,IPO Mandate Failed,My IPO UPI mandate failed and the bid is not confirmed.,Medium,Medium,Calm,Open,39.8,In-App,Kolkata,West Bengal,8.23.0,Active Trader,False,4.3
TKT-202605-0349,2026-02-09,USR-905245,Orders,Stock Order Pending,The order did not execute even though the market price reached my limit.,High,High,Frustrated,Open,19.9,Email,Chennai,Tamil Nadu,8.22.1,New Investor,False,3.1
TKT-202605-0149,2026-02-10,USR-131064,Mutual Funds,Redemption Delay,Redemption status is processed but I cannot see the money in my bank account.,Low,Low,Frustrated,Open,50.1,Chat,Mumbai,Maharashtra,8.25.0,Mutual Fund Investor,False,3.3
TKT-202605-0224,2026-02-10,USR-645561,SIP,SIP Payment Failed,The SIP installment did not go through even though my bank shows a debit.,High,High,Frustrated,Escalated,18.9,Email,Chennai,Tamil Nadu,8.23.0,Mutual Fund Investor,True,3.3
TKT-202605-0177,2026-02-10,USR-157219,Account,Login Issue,I am not receiving OTP and cannot log in to my account.,Low,Low,Confused,Resolved,12.1,Email,Bengaluru,Karnataka,8.21.0,Mutual Fund Investor,False,4.6
TKT-202605-0286,2026-02-10,USR-949363,Orders,Stock Order Pending,The order did not execute even though the market price reached my limit.,High,High,Frustrated,In Progress,12.3,Chat,Delhi,Delhi,8.23.0,Active Trader,True,2.6
TKT-202605-0358,2026-02-10,USR-877714,Stocks,Stock Holdings Not Visible,My portfolio value looks incorrect after a stock transaction.,Low,High,Confused,In Progress,21.3,In-App,Mumbai,Maharashtra,8.21.0,Mutual Fund Investor,True,2.5
TKT-202605-0043,2026-02-10,USR-416950,Mutual Funds,Redemption Delay,My mutual fund redemption is delayed and money is not credited yet.,High,High,Confused,In Progress,51.5,Phone,Delhi,Delhi,8.22.1,New Investor,True,2.9
TKT-202605-0099,2026-02-11,USR-143941,Account,Login Issue,Login is failing after I changed my phone and reinstalled the app.,Low,Low,Confused,Resolved,12.0,In-App,Ahmedabad,Gujarat,8.23.0,High Value Customer,False,2.9
TKT-202605-0406,2026-02-11,USR-916639,KYC,KYC Rejected,KYC keeps failing and I do not understand the rejection reason.,High,High,Frustrated,In Progress,77.3,Chat,Pune,Maharashtra,8.25.0,New Investor,True,2.4
TKT-202605-0244,2026-02-11,USR-746036,IPO,IPO Application Status,The IPO bid is visible but the final status is still pending.,Medium,Medium,Confused,Resolved,14.8,Phone,Pune,Maharashtra,8.25.0,Long-Term Investor,False,4.0
TKT-202605-0420,2026-02-11,USR-746908,Account,Login Issue,The app keeps asking for OTP but does not let me access my account.,Medium,Medium,Calm,Resolved,12.4,Chat,Jaipur,Rajasthan,8.25.0,Active Trader,False,4.1
TKT-202605-0137,2026-02-12,USR-528090,SIP,SIP Payment Failed,My SIP failed but money got debited from my bank account.,High,High,Frustrated,Resolved,18.6,Chat,Kolkata,West Bengal,8.22.1,Mutual Fund Investor,False,3.8
TKT-202605-0104,2026-02-12,USR-361736,Account,Login Issue,I am not receiving OTP and cannot log in to my account.,Medium,Medium,Confused,Resolved,8.4,Chat,Ahmedabad,Gujarat,8.22.1,Mutual Fund Investor,False,4.0
TKT-202605-0163,2026-02-12,USR-248225,Account,Login Issue,The app keeps asking for OTP but does not let me access my account.,Medium,Medium,Calm,Resolved,20.2,Chat,Pune,Maharashtra,8.24.2,Mutual Fund Investor,False,3.7
TKT-202605-0389,2026-02-12,USR-170260,Mutual Funds,NAV Explanation,I invested today but the NAV date looks different in the app.,Low,Low,Calm,Resolved,10.7,Phone,Chennai,Tamil Nadu,8.22.1,High Value Customer,False,3.6
TKT-202605-0065,2026-02-12,USR-805000,SIP,SIP Payment Failed,SIP autopay failed twice and the app still shows payment pending.,High,Medium,Confused,In Progress,49.8,Email,Kolkata,West Bengal,8.25.0,High Value Customer,False,3.2
TKT-202605-0148,2026-02-14,USR-694223,IPO,IPO Mandate Failed,I approved the IPO mandate but the application still says pending.,High,High,Frustrated,In Progress,21.4,Phone,Bengaluru,Karnataka,8.24.2,Active Trader,True,2.8
TKT-202605-0356,2026-02-14,USR-576467,General Education,ETF vs Mutual Fund,I want to learn how ETFs trade compared with mutual funds.,Low,Medium,Frustrated,Resolved,3.8,Email,Kolkata,West Bengal,8.25.0,Active Trader,False,5.0
TKT-202605-0220,2026-02-14,USR-812730,Risky Financial Advice,F&O Risk Query,Is there a safe options strategy that gives guaranteed returns?,Low,Low,Confused,Resolved,8.3,Phone,Jaipur,Rajasthan,8.22.1,New Investor,False,4.6
TKT-202605-0078,2026-02-14,USR-426775,SIP,SIP Payment Failed,The SIP installment did not go through even though my bank shows a debit.,Low,Low,Frustrated,In Progress,28.4,Chat,Kolkata,West Bengal,8.25.0,Mutual Fund Investor,True,3.0
TKT-202605-0072,2026-02-14,USR-847006,Account,Account Locked,The app says my account is temporarily blocked after OTP attempts.,High,Low,Frustrated,Resolved,51.9,Chat,Jaipur,Rajasthan,8.21.0,Mutual Fund Investor,True,3.9
TKT-202605-0167,2026-02-15,USR-716482,Orders,Stock Order Pending,Stock order status is stuck and I need to know if it was sent to the exchange.,High,High,Confused,Open,40.9,Chat,Hyderabad,Telangana,8.24.2,Mutual Fund Investor,True,1.5
TKT-202605-0319,2026-02-15,USR-295472,Payments,Money Debited Investment Not Confirmed,Money was debited from my bank but the investment is still not confirmed.,Low,Low,Confused,Resolved,37.0,Email,Kolkata,West Bengal,8.23.0,High Value Customer,True,4.3
TKT-202605-0251,2026-02-15,USR-760093,KYC,KYC Rejected,My KYC was rejected even though I uploaded PAN and address proof.,High,Low,Confused,Escalated,40.3,In-App,Hyderabad,Telangana,8.23.0,New Investor,True,2.9
TKT-202605-0378,2026-02-15,USR-648496,Mutual Funds,NAV Explanation,Please explain when NAV is calculated for mutual fund orders.,Medium,High,Angry,Resolved,9.1,Chat,Gurugram,Haryana,8.25.0,Mutual Fund Investor,False,3.3
TKT-202605-0369,2026-02-16,USR-136554,Orders,Stock Order Pending,My stock order is still pending and funds are blocked.,High,High,Frustrated,Resolved,22.6,Chat,Ahmedabad,Gujarat,8.24.2,Long-Term Investor,True,3.3
TKT-202605-0256,2026-02-16,USR-887524,Orders,Stock Order Pending,Stock order status is stuck and I need to know if it was sent to the exchange.,Medium,High,Frustrated,Escalated,31.2,Email,Jaipur,Rajasthan,8.24.2,Active Trader,True,2.6
TKT-202605-0353,2026-02-17,USR-431976,Mutual Funds,NAV Explanation,Please explain when NAV is calculated for mutual fund orders.,Low,Low,Confused,Resolved,10.3,Email,Bengaluru,Karnataka,8.25.0,Active Trader,False,4.2
TKT-202605-0005,2026-02-17,USR-169403,IPO,IPO Application Status,When will I know my IPO allotment status?,Medium,Medium,Frustrated,Resolved,9.0,In-App,Jaipur,Rajasthan,8.24.2,Long-Term Investor,False,4.7
TKT-202605-0403,2026-02-17,USR-901865,SIP,SIP Payment Failed,SIP autopay failed twice and the app still shows payment pending.,High,High,Confused,Resolved,26.5,Email,Ahmedabad,Gujarat,8.25.0,Mutual Fund Investor,True,3.5
TKT-202605-0012,2026-02-18,USR-698782,Payments,Money Debited Investment Not Confirmed,Amount got deducted and I cannot see the mutual fund order confirmation.,Medium,Medium,Confused,Open,38.5,Email,Bengaluru,Karnataka,8.24.2,Long-Term Investor,True,2.7
